id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lon,lat
813,casa de cultura                                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,0.017579999999998368,38.82788499999998
818,sala multiusos en pamis                               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,0.009562999999994545,38.81810899999996
819,ayuntamiento                                          ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6734099999999996,38.63071500000005
823,edificio casa consistorial                            ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.1313410000000018,38.622600999999996
824,centro salud polop avda sagi barba 24                 ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.1298109999999988,38.622122000000005
827,edificio multiusos o centro socio cultural la pilarica,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.12972599999999826,38.62210299999998
829,edificio centro social pau 1 parcela 51 equip admin   ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.14392400000000716,38.61910999999998
837,casa cultura                                          ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.3156660000000065,38.72450069999998
841,casa de cultura - oficinas municipales                ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.9123429999999971,38.520092999999974
842,auditorio municipal                                   ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.9101260000000034,38.51646300000002
844,casa consistorial                                     ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7188330000000004,38.11194299999997
845,consultorio auxiliar marina                           ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad alta                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6865799999999966,38.13546099999998
846,consultorio y proteccion civil                        ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7175389999999978,38.114614999999965
848,centro social urb. marina                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6864229999999989,38.135974000000004
849,colegio jose maria manresa navarro                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7165460000000035,38.116188
851,espacio multiusos comercial-cultural                  ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,-0.7185519999999954,38.11557900000003
852,escuela de musica                                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7187839999999979,38.11435400000002
853,teatro municipal cardenal belluga                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,-0.7216150000000013,38.11259999999999
