@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
1018276758,way,,yes,,38.3761919,-0.5077459
1019686192,way,Carrer de Mariano Benlliure / Calle Mariano Benlliure,no,,38.3779592,-0.5018755
1019686194,way,Avinguda de Novelda / Avenida de Novelda,no,,38.3783154,-0.5007161
1020398389,way,,yes,,38.3766794,-0.5016267
1024667988,way,,yes,,38.3734830,-0.5014647
1024919739,way,,yes,,38.3733206,-0.5058183
1025678113,way,Tourist Info,yes,,38.3438616,-0.4799467
1026515975,way,,yes,,38.3728793,-0.5024078
1027120895,way,,yes,,38.3769688,-0.5017217
1058161535,way,Carrer de Granada / Calle Granada,yes,,38.3733521,-0.4883593
1058161536,way,Carrer de Granada / Calle Granada,yes,,38.3733461,-0.4884025
1058161537,way,Carrer de Granada / Calle Granada,yes,,38.3733572,-0.4883228
1058205803,way,Carrer del Poeta Pedro Salinas / Calle Poeta Pedro Salinas,yes,,38.3681164,-0.4901894
1072239843,way,El Refugio,no,,38.3408195,-0.4907056
1089936446,way,,yes,,38.3729518,-0.5010606
1089936448,way,,yes,,38.3729648,-0.5009802
1093380898,way,,yes,,38.3726709,-0.5039680
1093380901,way,,yes,,38.3726663,-0.5040213
1093380904,way,,yes,,38.3726761,-0.5039075
1093389248,way,,yes,,38.3682735,-0.4971874
1094752693,way,,yes,,38.3697553,-0.4977502
1094752694,way,Carrer de la Verge dels Lliris / Calle Virgen de los Lirios,yes,,38.3693897,-0.4981901
1107971340,way,,yes,,38.3410712,-0.4899681
1107971341,way,,yes,,38.3416032,-0.4903535
1114710267,way,Plenergy,yes,,38.3714114,-0.4577111
1124689402,way,Carrer de Villa de Chiva / Calle Villa de Chiva,yes,,38.3719809,-0.4875906
1124911818,way,,yes,,38.3716583,-0.4891658
1127608050,way,,yes,,38.3380461,-0.4914506
1129178312,way,Avinguda de Novelda / Avenida de Novelda,yes,,38.3696064,-0.4971488
1131089431,way,,yes,,38.3748593,-0.4985641
1131089433,way,,yes,,38.3754204,-0.4988708
