id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
845844261,,Accesibilidad baja,Accesibilidad baja,38.3759823,-0.4894112
850274674,,Accesibilidad baja,Accesibilidad baja,38.3771705,-0.4860366
850614514,Carrer de la Maragda / Calle Esmeralda,Accesibilidad baja,Accesibilidad baja,38.3749889,-0.486863
854063856,,Accesibilidad baja,Accesibilidad baja,38.3770307,-0.4958689
854687070,,Accesibilidad baja,Accesibilidad baja,38.3759978,-0.4788775
854687076,,Accesibilidad baja,Accesibilidad baja,38.3746997,-0.4789665
856929654,,Accesibilidad baja,Accesibilidad baja,38.3747985,-0.4863059
857925189,,Accesibilidad baja,Accesibilidad baja,38.3742151,-0.4791574
860485038,,Accesibilidad baja,Accesibilidad baja,38.3696389,-0.4824622
860826630,,Accesibilidad baja,Accesibilidad baja,38.3689068,-0.4834981
862182583,,Accesibilidad baja,Accesibilidad baja,38.3688468,-0.4834053
870572056,,Accesibilidad baja,Accesibilidad baja,38.3658228,-0.4896106
891325893,,Accesibilidad baja,Accesibilidad baja,38.3751644,-0.4808583
894393771,Carrer del Bariton Paco Latorre / Calle Baritono Paco Latorre,Accesibilidad baja,Accesibilidad baja,38.3773192,-0.4836369
894393777,Carrer de la Turquesa / Calle Turquesa,Accesibilidad baja,Accesibilidad baja,38.3767603,-0.4850687
899228069,Carrer del Periodista Francisco Bas Mingot / Calle Periodista Francisco Bas Mingot,Accesibilidad baja,Accesibilidad baja,38.3746895,-0.4832079
920155829,Avinguda Ronda de Melilla / Avenida Ronda de Melilla,Accesibilidad baja,Accesibilidad baja,38.3739446,-0.4833525
929369216,Carrer d'Alonso Cano / Calle Alonso Cano,Accesibilidad baja,Accesibilidad baja,38.3724422,-0.4828923
929369230,Carrer Benifato / Calle Benifato,Accesibilidad baja,Accesibilidad baja,38.3734839,-0.482561
961674412,,Accesibilidad baja,Accesibilidad baja,38.3613616,-0.4922595
966823490,,Accesibilidad baja,Accesibilidad baja,38.368991,-0.4601567
1019686192,Carrer de Mariano Benlliure / Calle Mariano Benlliure,Accesibilidad baja,Accesibilidad baja,38.3779592,-0.5018755
1019686194,Avinguda de Novelda / Avenida de Novelda,Accesibilidad baja,Accesibilidad baja,38.3783154,-0.5007161
1072239843,El Refugio,Accesibilidad baja,Accesibilidad baja,38.3408195,-0.4907056
1137955661,,Accesibilidad baja,Accesibilidad baja,38.3649221,-0.4838656
1221393787,Carrer de Xativa / Calle Jativa,Accesibilidad baja,Accesibilidad baja,38.3791764,-0.5018791
1222408480,,Accesibilidad baja,Accesibilidad baja,38.3727355,-0.4874198
