WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia
POINT (733296.264012783 4303044.53477617),757,CASA CONSISTORIAL                                     ,"C/ POU, 62                                             ",3084,1880,Equipamiento         ,"Cultural, Administrativo, Institucional  ",Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (733409.872025421 4302736.96042312),761,AUDITORIO Y ESCUELA DE M?SICA                         ,"C/ VALL DE GALLINERA, 16                               ",3084,2010,Equipamiento         ,"Educativo, Cultural, Recreativo          ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (733308.111246851 4303016.59998761),762,CASA DEL POBLE                                        ,"C/ POU, 35                                             ",3084,2000,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (733380.174181341 4302902.49945717),763,CASA DELS JOVES                                       ,"C/ STA. MAR?A MAGDALENA, 18                            ",3084,1900,Equipamiento         ,"Cultural, Social                         ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (752608.03011684 4273996.20785367) ,768,CENTRO DE SALUD (CESI?N DE USO A GVA-SALUD)           ,"CL PRINCEPS DE ESPANYA, 8                              ",3011,1990,Equipamiento         ,"Sanitario, Administrativo                ",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (752731.273759698 4274104.66349963),771,CASA DE CULTURA                                       ,"CL EXERCITS ESPANYOLS, 58                              ",3011,1990,Equipamiento         ,"Educativo, Cultural, Social, Recreativo  ",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (755760.27757793 4273158.60811676) ,773,ANTIGUO CUARTEL DE CARABINEROS (CENTRO DE EDUCACI?N AM,"CM VEL DEL FAR, 18                                     ",3011,2015,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (723722.080766379 4294649.22785324),775,CASA CONSISTORIAL                                     ,"SAN LORENZO, 4-6                                       ",3017,1900,Equipamiento         ,"Cultural, Asistencial, Administrativo, In",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,l'Alqueria d'Asnar  ,el Comtat          ,Alacant/Alicante 
POINT (723690.208558595 4294615.66184207),778,MUSEO                                                 ,PAIS VALENCI? N.? 8-10                                 ,3017,1990,Equipamiento         ,"Cultural, Social                         ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,l'Alqueria d'Asnar  ,el Comtat          ,Alacant/Alicante 
POINT (751104.381646415 4296141.18646671),779,CASA CONSISTORIAL                                     ,"C. MAYOR, 2                                            ",3137,1930,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,la Vall de Laguar   ,la Marina Alta     ,Alacant/Alicante 
